timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695227654402,49,/api/AppUser/Edit-12,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,49,0,0
1695227654452,50,/api/AppUser/Edit-13,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227654502,58,/api/AppUser/Edit-14,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,58,0,0
1695227654561,50,/api/AppUser/Edit-15,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227654612,50,/api/AppUser/Edit-16,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,49,0,0
1695227654662,53,/api/AppUser/Edit-17,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,53,0,0
1695227654716,51,/api/AppUser/Edit-18,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,51,0,0
1695227654768,50,/api/AppUser/Edit-19,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227654818,48,/api/AppUser/Edit-20,302,Redirect,Https URL/API Test 1-1,text,true,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,48,0,0
1695227654818,48,/api/AppUser/Edit-21,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,609,338,1,1,https://uno-uat.nivabupa.com/error.html,48,0,0
1695227654870,1286,/api/Content/Share,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,13353,7563,1,1,https://uno-uat.nivabupa.com/error.html,52,0,0
1695227654870,52,/api/Content/Share-0,302,Redirect,Https URL/API Test 1-1,text,true,,609,528,1,1,https://uno-uat.nivabupa.com/api/Content/Share,52,0,0
1695227654922,162,/api/Content/Share-1,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,162,0,0
1695227655085,50,/api/Content/Share-2,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227655136,47,/api/Content/Share-3,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,47,0,0
1695227655184,54,/api/Content/Share-4,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,53,0,0
1695227655238,50,/api/Content/Share-5,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227655288,47,/api/Content/Share-6,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,47,0,0
1695227655335,49,/api/Content/Share-7,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,49,0,0
1695227655384,51,/api/Content/Share-8,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,51,0,0
1695227655436,50,/api/Content/Share-9,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227655487,66,/api/Content/Share-10,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,66,0,0
1695227655553,67,/api/Content/Share-11,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,67,0,0
1695227655621,48,/api/Content/Share-12,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,48,0,0
1695227655670,47,/api/Content/Share-13,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,47,0,0
1695227655717,53,/api/Content/Share-14,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,53,0,0
1695227655771,50,/api/Content/Share-15,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227655821,51,/api/Content/Share-16,302,Redirect,Https URL/API Test 1-1,text,true,,608,335,1,1,https://uno-uat.nivabupa.com/error.html,51,0,0
1695227655873,54,/api/Content/Share-17,302,Redirect,Https URL/API Test 1-1,text,true,,573,335,1,1,https://uno-uat.nivabupa.com/error.html,50,0,0
1695227655928,124,/api/Content/Share-18,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,124,0,77
1695227656053,39,/api/Content/Share-19,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,38,0,0
1695227656092,64,/api/Content/Share-20,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,64,0,0
1695227656092,64,/api/Content/Share-21,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,64,0,0
1695227656157,891,/api/Content/View,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,13398,7519,1,1,https://uno-uat.nivabupa.com/error.html,69,0,0
1695227656157,69,/api/Content/View-0,302,Redirect,Https URL/API Test 1-1,text,true,,609,484,1,1,https://uno-uat.nivabupa.com/api/Content/View,69,0,0
1695227656227,38,/api/Content/View-1,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,38,0,0
1695227656266,46,/api/Content/View-2,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,46,0,0
1695227656312,43,/api/Content/View-3,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,43,0,0
1695227656356,36,/api/Content/View-4,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,36,0,0
1695227656392,40,/api/Content/View-5,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,40,0,0
1695227656432,39,/api/Content/View-6,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227656472,39,/api/Content/View-7,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
